youtube_spotify	YouTube / Spotify	YouTube / Spotify	YouTube / Spotify	YouTube / Spotify	YouTube / Spotify	يوتيوب / سبوتيفاي	YouTube / Spotify	YouTube / Spotify	YouTube / Spotify
twitch_detection	Twitch detection	Twitch-Erkennung	Обнаружение Twitch	Détection Twitch	Detección de Twitch	كشف Twitch	Twitch algılama	Rilevamento Twitch	Wykrywanie Twitcha
browser_detection	Browser detection	Browser-Erkennung	Обнаружение браузера	Détection du navigateur	Detección del navegador	كشف المتصفح	Tarayıcı algılama	Rilevamento browser	Wykrywanie przeglądarki
privacy_mode	Privacy mode	Privacy-Modus	Приватный режим	Mode privé	Modo privado	وضع الخصوصية	Gizlilik modu	Modalità privacy	Tryb prywatności
open_apps	Open apps	Offene Apps	Открытые приложения	Applications ouvertes	Apps abiertas	التطبيقات المفتوحة	Açık uygulamalar	App aperte	Otwarte aplikacje
add_rule	Add rule	Regel hinzufügen	Добавить правило	Ajouter une règle	Añadir regla	إضافة قاعدة	Kural ekle	Aggiungi regola	Dodaj regułę
remove_rule	Remove rule	Regel entfernen	Удалить правило	Supprimer une règle	Quitar regla	إزالة قاعدة	Kuralı kaldır	Rimuovi regola	Usuń regułę
no_rules	No rules available.	Keine Regeln vorhanden.	Нет правил.	Aucune règle disponible.	No hay reglas disponibles.	لا توجد قواعد.	Kural yok.	Nessuna regola disponibile.	Brak reguł.
rule_removed	Rule removed: 	Regel entfernt: 	Правило удалено: 	Règle supprimée : 	Regla eliminada: 	تمت إزالة القاعدة: 	Kural kaldırıldı: 	Regola rimossa: 	Reguła usunięta: 
update_check_on_start	Check for a new release once at app startup	Beim App-Start einmal nach einem neuen Release suchen	Искать новый релиз один раз при запуске	Rechercher une nouvelle version au démarrage	Buscar una nueva versión al iniciar la app	التحقق من إصدار جديد مرة واحدة عند بدء التشغيل	Uygulama başlangıcında bir kez yeni sürüm ara	Cerca una nuova versione all'avvio dell'app	Sprawdzaj nową wersję raz przy starcie aplikacji
github_repository	GITHUB REPOSITORY	GITHUB REPOSITORY	РЕПОЗИТОРИЙ GITHUB	DÉPÔT GITHUB	REPOSITORIO DE GITHUB	مستودع GitHub	GITHUB DEPOSU	REPOSITORY GITHUB	REPOZYTORIUM GITHUB
update_no_auto_download	The app does not download updates automatically. A hit only opens the GitHub release.	Die App lädt Updates nicht automatisch herunter. Ein Treffer öffnet nur das GitHub-Release.	Приложение не загружает обновления автоматически. Нажатие открывает только релиз GitHub.	L'application ne télécharge pas les mises à jour automatiquement. Un clic ouvre seulement la version GitHub.	La app no descarga actualizaciones automáticamente. Un clic solo abre la versión de GitHub.	لا يقوم التطبيق بتنزيل التحديثات تلقائياً. النقر يفتح إصدار GitHub فقط.	Uygulama güncellemeleri otomatik indirmez. Tıklama yalnızca GitHub sürümünü açar.	L'app non scarica gli aggiornamenti automaticamente. Un clic apre solo la release GitHub.	Aplikacja nie pobiera aktualizacji automatycznie. Kliknięcie otwiera tylko wersję GitHub.
update_public_check	Check public releases - without token and without background service	Öffentliche Releases prüfen - ohne Token und ohne Hintergrunddienst	Проверять публичные релизы - без токена и без фоновой службы	Vérifier les versions publiques - sans jeton et sans service en arrière-plan	Comprobar versiones públicas - sin token y sin servicio en segundo plano	التحقق من الإصدارات العامة - بدون رمز مميز وبدون خدمة خلفية	Genel sürümleri kontrol et - token olmadan ve arka plan hizmeti olmadan	Controlla le release pubbliche - senza token e senza servizio in background	Sprawdzaj publiczne wersje - bez tokenu i bez usługi w tle
repo_example	Example: your-name/your-repository or the full github.com URL	Beispiel: dein-name/dein-repository oder die vollständige github.com-URL	Пример: ваше-имя/ваш-репозиторий или полный URL github.com	Exemple : votre-nom/votre-dépôt ou l'URL github.com complète	Ejemplo: tu-nombre/tu-repositorio o la URL completa de github.com	مثال: اسمك/مستودعك أو رابط github.com الكامل	Örnek: adın/depon veya tam github.com adresi	Esempio: tuo-nome/tuo-repository o l'URL github.com completa	Przykład: twoja-nazwa/twoje-repozytorium lub pełny adres github.com
github_updates	GitHub Updates	GitHub Updates	Обновления GitHub	Mises à jour GitHub	Actualizaciones de GitHub	تحديثات GitHub	GitHub Güncellemeleri	Aggiornamenti GitHub	Aktualizacje GitHub
github_release_updates	GitHub Release Updates	GitHub Release Updates	Обновления релизов GitHub	Mises à jour des versions GitHub	Actualizaciones de versiones de GitHub	تحديثات إصدارات GitHub	GitHub Sürüm Güncellemeleri	Aggiornamenti release GitHub	Aktualizacje wersji GitHub
repo_required	Please enter owner/repository or a full github.com URL.	Bitte owner/repository oder eine vollständige github.com-URL eintragen.	Введите owner/repository или полный URL github.com.	Veuillez saisir owner/repository ou une URL github.com complète.	Introduce owner/repository o una URL completa de github.com.	يرجى إدخال owner/repository أو رابط github.com كامل.	Lütfen owner/repository veya tam bir github.com adresi girin.	Inserisci owner/repository o un URL github.com completo.	Wpisz owner/repository lub pełny adres github.com.
check_repository	Check repository	Repository prüfen	Проверить репозиторий	Vérifier le dépôt	Comprobar repositorio	التحقق من المستودع	Depoyu kontrol et	Controlla repository	Sprawdź repozytorium
