presence_control	PRESENCE KONTROL UYGULAMASI	APP PRESENCE CONTROL	APLIKACJA PRESENCE CONTROL
discord_workspace	Discord Çalışma Alanı	Spazio di lavoro Discord	Przestrzeń Discord
control_center	KONTROL MERKEZİ	CENTRO DI CONTROLLO	CENTRUM STEROWANIA
overview	GENEL BAKIŞ	PANORAMICA	PRZEGLĄD
live_dashboard	Canlı Pano	Dashboard live	Panel na żywo
settings	AYARLAR	IMPOSTAZIONI	USTAWIENIA
status_games	Durum, Oyunlar ve Dil	Stato, giochi e lingua	Status, gry i język
developer_links	GELİŞTİRİCİ BAĞLANTILARI	LINK SVILUPPATORE	LINKI TWÓRCY
my_server	SUNUCUM	IL MIO SERVER	MÓJ SERWER
open_discord	Discord'u Aç	Apri Discord	Otwórz Discorda
creator	OLUŞTURUCU	CREATORE	TWÓRCA
open_guns	guns.lol'u Aç	Apri guns.lol	Otwórz guns.lol
system_ready	SİSTEM HAZIR	SISTEMA PRONTO	SYSTEM GOTOWY
presence_ready	Yerel Presence hazır	La Presence locale è pronta	Lokalna Presence jest gotowa
desktop	FALLEN-HEAVEN  //  MASAÜSTÜ	FALLEN-HEAVEN  //  DESKTOP	FALLEN-HEAVEN  //  PULPIT
presence_overview	FALLEN HEAVEN  /  PRESENCE GENEL BAKIŞ	FALLEN HEAVEN  /  PANORAMICA PRESENCE	FALLEN HEAVEN  /  PRZEGLĄD PRESENCE
hero_title	Presence'in. Senin tarzın.	La tua presence. A modo tuo.	Twoja presence. Po twojemu.
hero_subtitle	Topluluk durumu ve mevcut oyunun — otomatik, sakin ve yerel.	Stato della community e gioco in corso — automatico, discreto e locale.	Status społeczności i bieżąca gra — automatycznie, spokojnie i lokalnie.
discord_status	DISCORD DURUMU	STATO DISCORD	STATUS DISCORD
ready	Hazır	Pronto	Gotowy
discord_sync	DISCORD SENKRONİZASYONU	SYNC DISCORD	SYNC DISCORD
rpc_update	Doğrudan RPC güncellemesi	Aggiornamento RPC diretto	Bezpośrednia aktualizacja RPC
game_check	OYUN KONTROLÜ	CONTROLLO GIOCO	KONTROLA GRY
off	KAPALI	SPENTO	WYŁ.
steam_detection	Yerel Steam algılama	Rilevamento Steam locale	Lokalne wykrywanie Steama
session	OTURUM	SESSIONE	SESJA
presence_runtime	Güncel Presence süresi	Durata attuale della Presence	Bieżący czas Presence
